2024-08-13 13:02:44 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:02:44 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:02:52 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:02:52 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:05:30 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:05:30 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:05:39 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:05:39 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:07:39 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:07:39 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:07:47 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:07:47 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:08:56 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:08:56 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:09:04 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:09:04 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:09:36 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:09:36 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:09:46 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:09:46 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:10:13 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 13:10:13 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 13:12:19 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:12:19 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:12:27 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:12:27 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:12:55 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:12:55 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:13:04 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:13:04 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:15:42 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:15:42 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
